tour_name,tour_operator,overall_assessment,tour_itinerary,tour_director,lecture_host,tour_hotel,tour_ship,tour_meal,tour_staff
egypt.jan9,ODY,NA,NA,NA,NA,NA,NA,NA,NA
egypt.jan9,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Excellent
egypt.jan9,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Excellent
egypt.jan9,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
egypt.jan9,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Excellent
egypt.jan9,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,NA
egypt.jan9,ODY,Very Good,Very Good,Very Good,Excellent,Excellent,Very Good,Very Good,Excellent
egypt.jan9,ODY,Excellent,Excellent,Excellent,Very Good,Excellent,Very Good,Good,Excellent
egypt.jan9,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
egypt.jan9,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent
egypt.jan9,ODY,Excellent,Very Good,Very Good,Very Good,Excellent,Good,Good,Very Good
egypt.jan16,ODY,Excellent,NA,Excellent,Excellent,Excellent,Very Good,Very Good,Very Good
egypt.jan16,ODY,Very Good,Very Good,Very Good,Excellent,Excellent,Good,Fair,Excellent
egypt.jan16,ODY,Very Good,Very Good,Very Good,Excellent,Excellent,Very Good,Very Good,Excellent
egypt.jan16,ODY,Very Good,Very Good,Excellent,Fair,Excellent,Good,Very Good,Good
egypt.jan16,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Very Good,NA
egypt.jan16,ODY,Excellent,Very Good,Excellent,Excellent,Excellent,Good,Very Good,Good
egypt.jan16,ODY,Excellent,Very Good,Excellent,Excellent,Very Good,Excellent,Very Good,Excellent
panama.17,GON,Very Good,Very Good,Excellent,Very Good,NA,Excellent,Excellent,Excellent
panama.17,GON,Excellent,Very Good,Fair,Very Good,NA,Excellent,Excellent,Very Good
panama.17,GON,Very Good,Very Good,Very Good,Excellent,NA,Very Good,Very Good,Very Good
panama.17,GON,Excellent,Excellent,Excellent,Very Good,NA,Excellent,Excellent,Excellent
panama.17,GON,Excellent,Very Good,Very Good,Excellent,NA,Excellent,Excellent,Very Good
panama.17,GON,Excellent,Excellent,Excellent,Very Good,NA,Excellent,Excellent,Excellent
panama.17,GON,Very Good,Very Good,Excellent,Good,NA,Excellent,Excellent,Excellent
panama.17,GON,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent,Excellent
panama.17,GON,Excellent,Very Good,Very Good,Excellent,NA,Excellent,Excellent,Very Good
panama.17,GON,Excellent,Very Good,Fair,Very Good,NA,Excellent,Excellent,Fair
panama.17,GON,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent,Excellent
panama.17,GON,Very Good,Good,Very Good,Very Good,NA,Excellent,Very Good,Very Good
panama.17,GON,Excellent,Excellent,Excellent,Good,NA,Excellent,Excellent,Excellent
yellowstone.jan23,ORB,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,Excellent
yellowstone.jan23,ORB,Excellent,Excellent,Excellent,NA,Excellent,NA,Very Good,Excellent
yellowstone.jan23,ORB,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,Excellent
yellowstone.jan23,ORB,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,NA
yellowstone.jan23,ORB,Very Good,Very Good,Excellent,NA,Very Good,NA,Very Good,Fair
yellowstone.jan28,ORB,Very Good,Excellent,Excellent,NA,Very Good,NA,Good,Very Good
yellowstone.jan28,ORB,Good,Good,Very Good,NA,Very Good,NA,Very Good,Very Good
yellowstone.jan31,ORB,Very Good,Very Good,Good,NA,Good,NA,Fair,Very Good
yellowstone.jan31,ORB,Very Good,Very Good,Very Good,NA,Very Good,NA,Good,Excellent
southpacific.17,GON,Fair,Good,Excellent,NA,NA,Good,Fair,Very Good
southpacific.17,GON,Excellent,Excellent,Excellent,NA,NA,Excellent,Excellent,Excellent
southpacific.17,GON,Excellent,Excellent,Excellent,NA,NA,Excellent,Excellent,Excellent
southpacific.17,GON,Very Good,Very Good,Excellent,NA,NA,Excellent,Very Good,Very Good
southpacific.17,GON,Poor,Very Good,Excellent,NA,NA,Poor,Fair,Very Good
southpacific.17,GON,Excellent,Very Good,Excellent,NA,NA,Excellent,Excellent,Excellent
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Very Good,Very Good
vietnam.17,ODY,Excellent,Very Good,Very Good,Very Good,Excellent,NA,Very Good,Excellent
vietnam.17,ODY,Good,Very Good,Very Good,Very Good,Excellent,NA,Excellent,Very Good
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Very Good
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Very Good,Excellent
vietnam.17,ODY,Excellent,Excellent,Very Good,Excellent,Excellent,NA,Very Good,NA
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent
vietnam.17,ODY,Excellent,Excellent,Excellent,Very Good,Excellent,NA,Very Good,Excellent
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Very Good
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Good
vietnam.17,ODY,Very Good,Excellent,Excellent,Very Good,Excellent,NA,Excellent,Excellent
vietnam.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Very Good
australianz.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent
australianz.17,ODY,Excellent,Excellent,Excellent,Excellent,Very Good,NA,Excellent,Excellent
australianz.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Very Good,Excellent
australianz.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent
australianz.17,ODY,Very Good,Very Good,Excellent,Excellent,Very Good,NA,Fair,Excellent
australianz.17,ODY,Very Good,Very Good,Excellent,Excellent,Very Good,NA,Very Good,Very Good
australianz.17,ODY,Very Good,Excellent,Excellent,Excellent,Excellent,NA,Very Good,NA
australianz.17,ODY,Very Good,Very Good,Very Good,Excellent,Very Good,NA,Very Good,Excellent
australianz.17,ODY,Excellent,Very Good,Excellent,Excellent,Very Good,NA,Good,Very Good
australianz.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Very Good
australianz.17,ODY,Very Good,Very Good,Excellent,Excellent,Very Good,NA,Very Good,Excellent
australianz.17,ODY,Very Good,Very Good,Excellent,Excellent,Very Good,NA,Very Good,Very Good
australianz.17,ODY,Very Good,Very Good,Excellent,Very Good,Excellent,NA,Very Good,Excellent
australianz.17,ODY,Very Good,Excellent,Excellent,Excellent,Very Good,NA,Very Good,Excellent
costarica.17,ODY,Excellent,Very Good,Excellent,NA,Excellent,NA,Very Good,NA
costarica.17,ODY,Excellent,Excellent,Excellent,NA,Very Good,NA,Very Good,Very Good
costarica.17,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,Excellent
costarica.17,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,Excellent
costarica.17,ODY,Excellent,Very Good,Excellent,NA,Very Good,NA,Excellent,Excellent
tanzania.feb8,ODY,Very Good,Good,Very Good,NA,Excellent,NA,Very Good,Excellent
tanzania.feb8,ODY,Very Good,Very Good,Very Good,NA,Very Good,NA,Very Good,Excellent
tanzania.feb8,ODY,Very Good,Good,Fair,NA,Very Good,NA,Very Good,Excellent
tanzania.feb8,ODY,Good,Good,Fair,NA,Very Good,NA,Very Good,Good
africa.17,ODY,Very Good,Excellent,Very Good,NA,Excellent,NA,Very Good,Very Good
africa.17,ODY,Excellent,Excellent,Very Good,NA,Excellent,NA,Very Good,Very Good
africa.17,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Very Good,Very Good
africa.17,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,Excellent
patagonia.17,ODY,Very Good,Very Good,Excellent,Excellent,Very Good,NA,Good,Very Good
patagonia.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent
patagonia.17,ODY,Excellent,Excellent,Excellent,Excellent,Very Good,NA,Good,Very Good
